;Country;ActiveCases;Serious.Critical;Tot.Cases.1M.pop;Deaths.1M.pop;Tests.1M.pop;Mortality.Ratio
1;India;135918;8944;24624;331;446004;0.013698562
2;Turkey;444791;1405;97999;857;1187333;0.009321071
3;Iran;220075;3533;70577;1498;430949;0.02252889
5;Philippines;28102;1292;25248;409;210375;0.016615408
6;Malaysia;65319;527;77163;900;1082884;0.012113088
7;Iraq;21222;148;49897;566;387098;0.01160409
8;Thailand;95530;1997;28818;286;212925;0.01052844
9;Japan;1680;85;13699;145;215554;0.010745815
10;Bangladesh;8057;1400;9419;167;63358;0.018172197
11;Israel;5843;156;143367;873;3258875;0.006152414
12;Pakistan;22855;1114;5644;126;94321;0.023291469
13;Vietnam;140128;3824;10418;234;650083;0.026737757
14;Kazakhstan;29982;528;50122;651;606551;0.013586071
15;Jordan;28853;709;86030;1084;1105476;0.013200283
19;Lebanon;19517;200;96082;1264;704675;0.013751936
22;Saudi Arabia;2180;51;15447;248;866285;0.016371207
24;Palestine;3196;50;81058;852;509139;0.01070097
25;Kuwait;282;4;94791;565;1157234;0.006001394
26;S. Korea;31466;483;7704;60;307894;0.008598164
27;Mongolia;57719;192;111289;561;1202882;0.005995097
29;Oman;476;10;57617;778;4731603;0.013717316
30;Bahrain;245;3;155549;782;3998723;0.005055105
31;Qatar;1637;11;85820;218;1033406;0.002559516
32;Singapore;24383;72;39823;97;3568090;0.002736069
33;Uzbekistan;2532;23;5557;40;40371;0.007298366
34;Kyrgyzstan;2813;131;27333;405;268817;0.015292042
35;Afghanistan;20051;1124;3902;182;19433;0.056443873
36;Cyprus;32893;27;101877;473;7772198;0.006357776
38;China;1350;19;68;3;111163;0.050240038
39;Maldives;2241;23;162074;446;3048339;0.002831757
45;Brunei;629;4;31977;217;1252970;0.007139139
47;Yemen;1372;23;323;63;8634;0.290351804
